Category,Organization / Business Name,Type,Contact Person,Email,Phone,Website,Service Area,Capabilities / Keywords,Verification Tier,Notes,Source(s),Seed Source
Legal & Licensing,'68 Partners LLC,Business,"Sheri L. Tarr, JD — Founder / Chief Advisor",,,https://68partners.com/,National; current Ohio industry engagement; no Ohio client disclosed,Legal; Licensing; Regulatory Compliance,Source-verified,"Retained. Current first-party materials confirm cannabis licensing, compliance and regulatory work across multiple states; Sheri Tarr appears on the Ohio Cannabis Health & Business Summit speaker roster. This establishes Ohio industry engagement, not an Ohio client engagement. FORM-ONLY TERMINAL: the current site routes inquiries through its contact form or free-consultation booking page and does not publish a readable first-party email or phone.",https://68partners.com/meet-68-partners/ | https://68partners.com/cannabis-license-applications-build-out-support/ | https://68partners.com/contact/ | https://68partners.com/book-a-call-online/ | https://ochbs.com/speakers/,"Original expo CRM | Research cleanup — 2026-08-14; QA'd 2026-08-14 | Legal & Accounting issue-resolution pass, 2026-08-22; source pages retrieved and reviewed | Legal & Licensing outreach-enrichment pass, 2026-08-23; form-only intake verified"
Technology,"365 Cannabis (acquired by Innovia Consulting, Feb 2026 — see Innovia entry)",Business,Partnership & Integration Team — event/partner inquiries,info@ampleorganics.com,888-609-6766,https://www.365cannabis.com/contact/,Statewide / Multi-Market,Technology,Source-verified,"Innovia Consulting acquired 365 Cannabis and 365Vertical in February 2026, and those teams joined Innovia. Retained as a former-brand/acquired-entity record for provenance and name recognition — do NOT count as an independent current organization alongside the Innovia entry.",https://www.365cannabis.com/contact-partnership-integration/ | https://www.365cannabis.com/privacy-policy/ | https://www.cannabismarketspotlight.com/ohiovalley,"IgniteIt Network | Organizations | Batch 4 audit, 2026-08-15; source pages retrieved and reviewed | Technology audit, 2026-08-22; source pages retrieved and reviewed"
Real Estate / Build-Out,420 Property,Business,Ryan George — CEO,support@420property.com,866-742-0776,https://www.420property.com/ohio/,Ohio and nationwide,Real Estate / Build-Out; Real Estate,Source-verified,"Flag cleared: platform is current and both contact routes are first-party. Individual property listings should still be independently verified, but that is a property-level caveat, not a reason to flag the company. Platform is operated by NNVOY LLC; George identified as CEO via LinkedIn and a 2026 business profile.",https://www.420property.com/ohio/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 4 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research, 2026-08-16; source pages retrieved and reviewed | Reconciliation pass against a duplicate/older-snapshot research round, 2026-08-16; source pages retrieved and reviewed"
Marketing & Media,5W Public Relations,Business,"Leigh Ann Ambrosi — Managing Partner & EVP, Consumer Lifestyle",info@5wpr.com,212-999-5585,https://www.5wpr.com/contactus/,United States nationwide,Marketing / Media; PR / Communications,Source-verified,Current first-party material confirms a national PR agency with a dedicated cannabis practice. Ohio-specific client work is not claimed; current national availability resolves the former geography flag.,https://www.5wpr.com/practice/cannabis-marketing-agency.cfm | https://www.5wpr.com/contactus/,"Research pass — 2026-08-14 | Batch 9 audit, 2026-08-15 | Pass 1 research (round 9, from v52 queue), 2026-08-16; source pages retrieved and reviewed | Marketing & Media audit, 2026-08-22; source pages retrieved and reviewed"
Cultivator / Processor / Dispensary,A Dose of Hope,Business,Hope Seavers — Co-Founder & CEO,,937-471-4440,https://adoseofhopebrand.com/where-to-buy/,Ohio,Cannabis Operator; Processing; Edibles / Infused Products,Source-verified,The current first-party where-to-buy page supplies a brand phone and the official site supplies a contact form. Retain as an Ohio edibles brand rather than a DCC license holder; the licensed manufacturing partner remains unresolvable from reliable public evidence.,https://adoseofhopebrand.com/where-to-buy/ | https://adoseofhopebrand.com/our-story/ | https://www.ideastream.org/economy/2025-02-24/women-tear-down-the-walls-of-ohios-cannabis-industry,"Organizations | Speakers | Research cleanup — 2026-08-14; source pages retrieved and reviewed | Cultivator / Processor / Dispensary issue-resolution pass, 2026-08-22; source pages retrieved and reviewed; DCC roster checked | Operator outreach-enrichment pass, 2026-08-22; source pages retrieved and reviewed"
Packaging & Labeling,A-ROO Company,Business,Mike Poretsky — Ohio Branch Sales Manager,mporetsky@a-roo.com,440-238-8850 ext. 109,https://www.a-roo.com/our-story,Northeast Ohio / Cleveland-Akron,Packaging / Labeling,Source-verified,Own site sells bulk cannabis packaging bags — category is direct from source URL.,https://www.a-roo.com/items/bulk-cannabis-bags,"Organizations | Batch 2 audit, 2026-08-15; source pages retrieved and reviewed"
Cultivator / Processor / Dispensary,ACA Dispensary,Business,,info@acadispensary.com,330-568-4328,https://acadispensary.com/ohio/,"Hubbard, Ohio",Dispensary / Retail,Source-verified,"Current first-party Ohio page confirms ACA Dispensary at 437 E Liberty St, Hubbard. The current DCC roster places CCD000022-00 at that exact address under B Cubed Operations Ohio, LLC. The same entity's provisional CCD000187-00 at 3300 Needmore Rd, Dayton remains unresolved and is not attributed to ACA.","https://acadispensary.com/ohio/ | Ohio DCC Current Roster, B Cubed Operations Ohio, LLC / CCD000022-00","DCC legal-entity → trade-name mapping, 2026-08-23; source pages retrieved and reviewed; roster-verified"
Testing Labs,"ACT LAB (ACT Laboratories, Inc.)",Business,Tahaney Abuzahrieh — Ohio Lab Manager | Everett Sanders — Director of Business Development,OhioSales@actlab.com | labs@actlab.com,844-822-8522,https://actlab.com/ohio/,Statewide / Columbus,Cannabis Testing; Compliance Testing; Potency Testing; Microbial Testing; Mold / Microbial,Source-verified,"Ohio cannabis and hemp compliance and R&D testing laboratory. The current Ohio page lists Columbus operations and Ohio laboratory license CCL000016-00; company and credential details rechecked 2026-08-14. Verified against the current Ohio DCC testing-laboratory roster: dual-use laboratory holding a Certificate of Operation under licence CCL000016-00. Capability note: microbial and potency testing are tagged for every DCC-licensed laboratory because they form part of the state-mandated compliance panel every licensed lab must run — this is inferred from licensure, not from the lab's own marketing. Confirm the full test menu and any specialist capability directly.",https://elicense.com.ohio.gov/s/licensesearch | https://com.ohio.gov/divisions-and-programs/cannabis-control/about-dcc/licenses/testing-labs,Research pass — 2026-08-14; QA'd 2026-08-14; licence verified against Ohio DCC roster — 2026-08-15
Marketing & Media,Advance Ohio,Business,Dan Rensel — Senior Director of Sales,marketing@advance-ohio.com,216-999-3900,https://www.advance-ohio.com/contact/,Ohio statewide; Cleveland-based,Marketing / Media,Source-verified,"Cleveland/Ohio cannabis marketing work and phone confirmed current. SOURCE CAVEAT: its cannabis page still describes the adult-use transition as something that will occur in late 2024 — good vendor, dated regulatory/market copy. Chosen over a publisher/editor contact since this row is an advertising/marketing resource.",https://www.advance-ohio.com/expertise/cannabis/,"Research pass — 2026-08-14 | Batch 9 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 9, from v52 queue), 2026-08-16; source pages retrieved and reviewed | Marketing & Media audit, 2026-08-22; source pages retrieved and reviewed"
Banking & Financial Services,Advanced Flower Capital,Business,Robyn Tannenbaum — Investor Relations,ir@advancedflowercapital.com,561-510-2293,https://www.afcbdc.com/,Ohio transaction history | United States,Banking / Financial Services; Lending / Financing,Source-verified,Current lender with a documented $15 million senior secured credit facility to Story Ohio; the transaction confirms Ohio relevance.,https://www.afcbdc.com/ | https://www.globenewswire.com/news-release/2025/02/18/3027781/0/en/advanced-flower-capital-provides-15-million-senior-secured-credit-facility-to-story-ohio.html,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 8 audit, 2026-08-15; source pages retrieved and reviewed | Banking & Financial Services audit, 2026-08-22; source pages retrieved and reviewed"
