Organization A,Organization B / Counterparty,Relationship Type,Project / Geography,Status,Evidence Summary,Directory Row Source(s) — row-level context,Directory Row,Pass / Provenance,Counterparty Status
Green Check Verified,Wright-Patt Credit Union,MRB compliance / banking platform,Ohio,Current,Wright-Patt uses Green Check to operate and scale its marijuana-related-business banking compliance program.,https://www.wpcu.coop/business/mrb-banking | https://www.wpcu.coop/contact-us/mrb-support,78,"Organizations | Speakers | Batch 1 audit, 2026-08-15; source pages retrieved and reviewed | Pass 2 B2B relationship mapping, 2026-08-16; source pages retrieved and reviewed | Banking & Financial Services audit, 2026-08-22; source pages retrieved and reviewed | Banking & Financial Services outreach-enrichment pass, 2026-08-23; form-only intake verified",Y
DEM360,Ayr Wellness Ohio,Security / IT services,Corporate relationship; Ohio facility not specified,Current,DEM360 names AYR Wellness among its cannabis clients; specific Ohio-facility attribution is not established.,https://www.dem360.com/our-services/cannabis-security,176,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 5 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 2), 2026-08-16; source pages retrieved and reviewed | Reconciliation pass against a duplicate/older-snapshot research round, 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 2), 2026-08-16; source pages retrieved and reviewed",Y
CLC Design Studio,Ayr Wellness Ohio,Dispensary design,Two dispensaries; locations unspecified,Confirmed,CLC states its founder designed two AYR Wellness dispensaries.,https://clcdesignstudio.com/about-clc-design-studio/ | https://clcdesignstudio.com/contact/,279,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 7 audit, 2026-08-15; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 2), 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 4), 2026-08-16; source pages retrieved and reviewed",Y
Klutch Cannabis,Farkas Farms,M&A / dispensary-license transfer,"Columbus and Loudonville, Ohio",2026 confirmed,DCC-approved swap: Klutch acquired Farkas Farms' Columbus dispensary license while selling its Loudonville dispensary/license to Farkas Farms.,https://www.klutchcannabis.com/ | https://www.klutchcannabis.com/blog/klutch-cannabis-to-rebrand-dispensaries-and-launch-cookies-products-in-january-2025/ | https://www.klutchcannabis.com/contact/ | https://www.prnewswire.com/news-releases/klutch-cannabis-announces-acquisition-of-second-columbus-dispensary-in-grandview-relocation-of-tallmadge-store-to-new-flagship-location-in-akron-302866476.html | https://www.klutchcannabis.com/grandview-dispensary/,90,"Organizations | Speakers | Batch 3 audit, 2026-08-14; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 5), 2026-08-16; source pages retrieved and reviewed | DCC legal-entity → trade-name mapping, 2026-08-23; source pages retrieved and reviewed; roster-verified",Y
Sapphire Risk Advisory Group,Grow Ohio / Butterfly Effect,Security consulting / facility planning,Ohio,Documented; date/current status unknown,"Sapphire publishes a Grow Ohio testimonial describing security work, equipment bidding and facility build-outs.",https://www.sapphirerisk.com/adult-use-cannabis-in-ohio/,138,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 4 audit, 2026-08-15; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 3), 2026-08-16; source pages retrieved and reviewed",Y
Cannabis Creative Group,Pure Ohio Wellness,Website design / development,Ohio,Confirmed,Pure Ohio Wellness is a featured Cannabis Creative Group project.,https://cannabiscreative.com/portfolio/pure-ohio-wellness/ | https://pureohiowellness.com/,223,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 6 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 4), 2026-08-16; source pages retrieved and reviewed | Marketing & Media audit, 2026-08-22; source pages retrieved and reviewed",Y
CannaContent,Ascension BioMedical LLC,SEO / web / digital marketing,Ohio,Current 2026,Ascension testimonial describes CannaContent improving Ohio brand recognition and digital engagement.,https://cannacontent.co/services/,207,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 6 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 4), 2026-08-16; source pages retrieved and reviewed | Reconciliation pass against a duplicate/older-snapshot research round, 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 3), 2026-08-16; source pages retrieved and reviewed | Marketing & Media audit, 2026-08-22; source pages retrieved and reviewed",Y
ARCO National Construction,Ascension BioMedical LLC,Construction delivery,"Oberlin, Ohio",Current 2026,"ARCO is documented as contractor for a 28,000 SF new facility plus 19,000 SF renovation.",https://www.arconational.com/cannabis-construction/ | https://www.arconational.com/cleveland-construction-company/ | https://www.arconational.com/ascension-biomedical-expands-cannabis-cultivation-capabilities-in-oberlin-ohio/,265,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 7 audit, 2026-08-15 | Pass 2 B2B relationship mapping (round 2), 2026-08-16; source pages retrieved and reviewed | Real Estate / Build-Out pass, 2026-08-22; source pages retrieved and reviewed",Y
Dominion AG (DAG),Ascension BioMedical LLC,Preconstruction / design,"Oberlin, Ohio",2024 project phase,DAG announced a $14M preconstruction/design engagement for the same Ascension expansion later delivered by ARCO.,https://www.dagfacilities.com/designer-and-builder-of-cea-facilities-inks-14m-contract-for-expansion-of-indoor-cannabis-cultivation-facility-in-ohio/ | https://www.dagfacilities.com/contact/,266,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 7 audit, 2026-08-15; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 2), 2026-08-16; source pages retrieved and reviewed | Gmail outreach bounce reconciliation, 2026-08-22; delivery diagnostics reviewed | v67-RE2 Real Estate / Build-Out disposition pass, 2026-08-23; first-party project and contact pages retrieved and reviewed",Y
Dutchie,The Botanist (Acreage Holdings),E-commerce platform,Ohio-applicable multi-state rebuild,Current,The Botanist moved to Dutchie E-Commerce Pro as part of its documented digital rebuild.,https://support.dutchie.com/hc/en-us/articles/29257181849619-Ohio-Hybrid-Licensee-Guide-Dutchie-POS,71,"IgniteIt Network | Organizations | Batch 2 audit, 2026-08-14; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 4), 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 5), 2026-08-16; source pages retrieved and reviewed | Technology audit, 2026-08-22; source pages retrieved and reviewed",Y
